Date,Open,High,Low,Close,Adj Close,Volume
1996-12-26,6.955555,7.376666,6.954444,7.373333,4.495424,266548500.0
1996-12-27,7.373333,7.373333,7.373333,7.373333,4.495424,0.0
1996-12-30,7.373333,7.373333,7.373333,7.373333,4.495424,0.0
1996-12-31,7.577777,7.662222,7.288888,7.402222,4.513037,420943500.0
1997-01-01,7.488888,7.722222,7.488888,7.654444,4.666812,199728000.0
1997-01-02,7.677777,7.7,7.502222,7.538888,4.59636,228190500.0
1997-01-03,7.511111,7.554444,7.415555,7.514444,4.581458,189981000.0
1997-01-06,7.466666,7.511111,7.186666,7.235555,4.411422,230337000.0
1997-01-07,7.2,7.274444,6.977777,7.127777,4.34571,270684000.0
1997-01-08,7.288888,7.436666,7.134444,7.182222,4.378905,251383500.0
1997-01-09,7.155555,7.308888,7.134444,7.258888,4.425647,252481500.0
1997-01-10,7.378888,7.754444,7.362222,7.685555,4.68578,623070000.0
1997-01-13,7.744444,8.083333,7.633333,7.986666,4.869364,517153500.0
1997-01-14,8.111111,8.546666,8.111111,8.51,5.188434,658503000.0
1997-01-15,8.644444,9.106666,8.644444,9.106666,5.552212,310860000.0
1997-01-16,9.355555,9.744444,8.47,8.688888,5.2975,582808500.0
1997-01-17,8.333333,8.976666,8.222222,8.781111,5.353726,653031000.0
1997-01-20,8.977777,9.126666,8.716666,8.805555,5.36863,618597000.0
1997-01-21,8.733333,9.016666,8.491111,8.655555,5.277177,526873500.0
1997-01-22,8.955555,9.173333,8.888888,8.994444,5.483794,430974000.0
1997-01-23,8.994444,8.994444,8.994444,8.994444,5.483794,0.0
1997-01-24,8.931111,8.997777,8.577777,8.682222,5.293436,462991500.0
1997-01-27,8.688888,9.0,8.606666,8.835555,5.38692,498951000.0
1997-01-28,8.954444,8.988888,8.733333,8.867777,5.406566,354667500.0
1997-01-29,9.333333,9.488888,8.99,9.16,5.584731,472545000.0
1997-01-30,9.077777,9.133333,8.823333,8.954444,5.459405,349051500.0
1997-01-31,8.8,8.844444,8.557777,8.624444,5.258209,362205000.0
1997-02-03,8.422222,8.573333,8.288888,8.342222,5.086142,306904500.0
1997-02-04,8.354444,8.593333,8.333333,8.514444,5.191144,281259000.0
1997-02-05,8.698888,8.776666,8.457777,8.502222,5.183692,246564000.0
1997-02-06,8.477777,8.587777,8.3,8.496666,5.180304,363424500.0
1997-02-07,8.511111,8.91,8.411111,8.852222,5.397082,445225500.0
1997-02-10,8.953333,9.087777,8.724444,8.923333,5.440438,554422500.0
1997-02-11,8.882222,9.11,8.834444,9.032222,5.506825,355293000.0
1997-02-12,9.0,9.477777,8.977777,9.355555,5.703957,660496500.0
1997-02-13,9.277777,9.422222,9.267777,9.36,5.706666,365836500.0
1997-02-14,9.356666,9.442222,9.332222,9.38,5.718861,294583500.0
1997-02-17,9.555555,9.598888,9.306666,9.386666,5.722927,398740500.0
1997-02-18,9.411111,9.411111,9.044444,9.1,5.548151,518652000.0
1997-02-19,9.177777,9.33,9.097777,9.307777,5.674828,465813000.0
1997-02-20,9.244444,9.322222,9.184444,9.252222,5.640959,275224500.0
1997-02-21,9.2,9.233333,9.09,9.138888,5.571859,269014500.0
1997-02-24,9.088888,9.108888,8.694444,8.773333,5.348985,436711500.0
1997-02-25,8.748888,8.9,8.488888,8.623333,5.257532,397480500.0
1997-02-26,8.577777,8.662222,8.385555,8.598888,5.242628,438646500.0
1997-02-27,8.688888,8.8,8.578888,8.768888,5.346273,331038000.0
1997-02-28,9.511111,9.671111,9.248888,9.472222,5.775088,144148500.0
1997-03-03,9.824444,9.933333,9.605555,9.647777,5.882121,337882500.0
1997-03-04,9.647777,10.215555,9.557777,10.07,6.139546,569682000.0
1997-03-05,10.4,10.511111,9.923333,10.108888,6.163255,517167000.0
1997-03-06,9.977777,10.087777,9.891111,10.003333,6.098899,329967000.0
1997-03-07,10.003333,10.003333,10.003333,10.003333,6.098899,0.0
1997-03-10,9.831111,9.866666,9.511111,9.563333,5.830636,357646500.0
1997-03-11,9.488888,9.746666,9.155555,9.33,5.688377,440041500.0
1997-03-12,9.601111,9.773333,9.502222,9.67,5.895672,451084500.0
1997-03-13,9.723333,9.723333,9.413333,9.445555,5.75883,306225000.0
1997-03-14,9.377777,9.666666,9.322222,9.594444,5.849606,424129500.0
1997-03-17,9.6,9.643333,9.49,9.528888,5.809638,276655500.0
1997-03-18,9.5,9.614444,9.294444,9.376666,5.716828,310761000.0
1997-03-19,9.555555,9.577777,9.066666,9.148888,5.577956,285975000.0
1997-03-20,9.094444,9.282222,9.008888,9.173333,5.592859,412114500.0
1997-03-21,9.244444,9.487777,9.228888,9.421111,5.743926,430803000.0
1997-03-24,9.421111,9.421111,9.421111,9.421111,5.743926,0.0
1997-03-25,9.506666,9.528888,9.28,9.337777,5.693118,299259000.0
1997-03-26,9.418888,9.442222,9.141111,9.18,5.596924,263079000.0
1997-03-27,9.133333,9.264444,9.077777,9.235555,5.630795,240205500.0
1997-03-28,9.235555,9.235555,9.235555,9.235555,5.630795,0.0
1997-03-31,8.59,8.59,8.312222,8.312222,5.067851,2344500.0
1997-04-01,7.488888,8.222222,7.481111,8.117777,4.9493,341541000.0
1997-04-02,8.294444,8.4,8.17,8.318888,5.071916,233689500.0
1997-04-03,8.35,8.472222,8.278888,8.438888,5.145079,239539500.0
1997-04-04,8.333333,8.361111,8.282222,8.328888,5.078012,144292500.0
1997-04-07,8.244444,8.275555,7.888888,8.036666,4.899848,201717000.0
1997-04-08,8.036666,8.036666,8.036666,8.036666,4.899848,0.0
1997-04-09,8.335555,8.6,8.335555,8.597777,5.241951,262431000.0
1997-04-10,8.531111,8.596666,8.178888,8.458888,5.157272,604341000.0
1997-04-11,8.325555,8.777777,8.266666,8.742222,5.330017,611014500.0
1997-04-14,8.742222,8.742222,8.742222,8.742222,5.330017,0.0
1997-04-15,8.888888,9.222222,8.888888,9.157777,5.583375,538470000.0
1997-04-16,9.157777,9.157777,9.157777,9.157777,5.583375,0.0
1997-04-17,9.195555,9.266666,9.088888,9.242222,5.634861,291825000.0
1997-04-18,9.242222,9.242222,9.242222,9.242222,5.634861,0.0
1997-04-21,9.355555,9.494444,9.277777,9.418888,5.742571,293818500.0
1997-04-22,9.456666,9.471111,9.133333,9.217777,5.619957,290317500.0
1997-04-23,9.244444,9.355555,9.235555,9.27,5.651796,126499500.0
1997-04-24,9.222222,9.325555,9.101111,9.135555,5.569826,193167000.0
1997-04-25,9.111111,9.287777,9.088888,9.25,5.639602,261198000.0
1997-04-28,9.205555,9.254444,9.157777,9.175555,5.594214,175171500.0
1997-04-29,9.144444,9.236666,9.022222,9.066666,5.527826,268690500.0
1997-04-30,9.377777,9.422222,9.24,9.255555,5.642989,187362000.0
1997-05-01,9.255555,9.255555,9.255555,9.255555,5.642989,0.0
1997-05-02,9.155555,9.22,9.077777,9.103333,5.550182,169294500.0
1997-05-05,8.997777,9.072222,8.867777,8.908888,5.431631,260712000.0
1997-05-06,8.916666,9.143333,8.896666,9.084444,5.538666,305685000.0
1997-05-07,9.155555,9.166666,9.053333,9.071111,5.530538,204444000.0
1997-05-08,9.077777,9.115555,9.028888,9.092222,5.543407,122404500.0
1997-05-09,9.094444,9.111111,8.993333,9.036666,5.509536,206901000.0
1997-05-12,9.022222,9.053333,8.856666,8.881111,5.414695,177570000.0
1997-05-13,8.888888,8.988888,8.783333,8.875555,5.411308,248422500.0
1997-05-14,8.888888,9.112222,8.777777,9.037777,5.510213,292558500.0
1997-05-15,9.066666,9.51,9.023333,9.42,5.743249,645385500.0
1997-05-16,9.416666,9.777777,9.4,9.746666,5.942414,631872000.0
1997-05-19,9.978888,10.133333,9.833333,9.991111,6.091446,638262000.0
1997-05-20,10.04,10.108888,9.711111,9.932222,6.055545,580360500.0
1997-05-21,9.575555,9.575555,9.257777,9.304444,5.672797,482571000.0
1997-05-22,9.357777,9.474444,9.308888,9.393333,5.726991,407785500.0
1997-05-23,9.4,9.511111,9.336666,9.43,5.749346,324022500.0
1997-05-26,9.422222,9.532222,9.411111,9.484444,5.78254,210564000.0
1997-05-27,9.523333,9.777777,9.488888,9.598888,5.852314,382392000.0
1997-05-28,9.644444,9.644444,9.456666,9.478888,5.779151,208881000.0
